10@diameter	,0.0697749
4@viscera_weight	,1.6403258E-4
4@whole_weight	,7.435345E-4
5@diameter	,0.005505269
5@female	,9.578544E-4
5@height	,0.0018654215
5@infant	,0.022988506
5@length	,0.0074353456
5@male	,0.0019157088
5@rings	,0.02586207
5@shell_weight	,9.6767215E-4
5@shucked_weight	,0.001646791
5@viscera_weight	,7.100095E-4
5@whole_weight	,0.0032854406
6@diameter	,0.019961689
6@female	,0.0052681994
6@height	,0.0066403258
6@infant	,0.05842912
6@length	,0.026542138
6@male	,0.008141763
6@rings	,0.07183908
6@shell_weight	,0.005556274
6@shucked_weight	,0.008830696
6@viscera_weight	,0.004202347
6@whole_weight	,0.019733233
7@diameter	,0.027543103
7@female	,0.008141763
7@height	,0.009135538
7@infant	,0.0598659
7@length	,0.036235634
7@male	,0.018199233
7@rings	,0.0862069
7@shell_weight	,0.009545493
7@shucked_weight	,0.015631225
7@viscera_weight	,0.0074310335
7@whole_weight	,0.034043115
8@diameter	,0.05550289
8@female	,0.03448276
8@height	,0.018673366
8@infant	,0.06800766
8@length	,0.07201865
8@male	,0.04118774
8@rings	,0.14367816
8@shell_weight	,0.025698988
8@shucked_weight	,0.043039996
8@viscera_weight	,0.020127399
8@whole_weight	,0.093206644
9@diameter	,0.068029225
9@female	,0.052681994
9@height	,0.02280412
9@infant	,0.03927203
9@length	,0.08745448
9@male	,0.06896552
9@rings	,0.16091955
9@shell_weight	,0.03760489
9@shucked_weight	,0.06134192
9@viscera_weight	,0.029835239
9@whole_weight	,0.13485606
